TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name,LinkID
I27,1.308611817,103.88922,Yes,LTA,Stand,Old Airport Rd outside Dakota CCL Station (Ent A),103088282
I28,1.300969009,103.87539,Yes,Private,Stand,Stadium Cres outside Singapore Indoor Stadium,114000423
I29,1.305449464,103.87702,Yes,Private,Stand,Stadium Blvd near OCBC Arena,112000331
I30,1.304187434,103.87226,Yes,Private,Stand,Stadium Pl outside Kallang Wave Mall,114000330
I31,1.324236901,103.92926,Yes,Private,Stand,New Upp Changi Rd at Bedok Mall,103077616
I32,1.32746,103.93246,Yes,Private,Stop,Bedok North St 1 at Heartbeat@Bedok (Bedok Integrated Complex),103058567
I33,1.327411052,103.88291,Yes,LTA,Stand,Merpati Rd outside Mattar DTL Station (Ent A),103019916
I34,1.326178661,103.88388,Yes,LTA,Stand,Mattar Rd outside Mattar DTL Station (Ent B),103080248
I35,1.326299648,103.88939,Yes,LTA,Stand,Circuit Rd outside Macpherson DTL Station (Ent A),103004198
I36,1.330088636,103.89989,Yes,LTA,Stand,Ubi Ave 2 outside Ubi DTL Station (towards MacPherson) (Ent A),103045891
I37,1.329802589,103.87159,Yes,LTA,Stand,Ubi Ave 2 outside Ubi DTL Station (towards Kaki Bukit) (Ent B),103028407
I38,1.334693728,103.90737,Yes,LTA,Stand,Kaki Bukit Ave 1 outside Kaki Bukit DTL Station (Ent B),103095647
I39,1.334708862,103.90908,Yes,LTA,Stand,Jalan Damai outside Kaki Bukit DTL Station (Ent B),103059778
I40,1.335501676,103.91802,Yes,LTA,Stand,Bedok North Rd outside Bedok North DTL Station (Ent A),103109263
I41,1.33413593,103.91886,Yes,LTA,Stand,Bedok North Rd outside Bedok North DTL Station (Ent B),103107370
I42,1.333853533,103.95719,Yes,Private,Stand,Upp Changi Rd East at driveway of Max Atria EXPO,103083274
I43,1.336475101,103.93305,Yes,LTA,Stand,Bedok North Ave 3 outside Bedok Reservoir DTL Station (towards Bedok Reservoir) (Ent A),103000614
I44,1.336316569,103.93355,Yes,LTA,Stand,Bedok North Ave 3 outside Bedok Reservoir DTL Station (Ent B),109000076
I45,1.350789067,103.93828,Yes,LTA,Stand,Tampines Ave 4 outside Tampines West DTL Station (Ent A),103101875
I46,1.344952831,103.9392,Yes,LTA,Stand,Tampines Ave 1 outside Tampines West DTL Station (Ent B),103058674
I47,1.356448608,103.95468,Yes,LTA,Stand,Tampines Ave 7 outside Tampines East DTL Station (Ent A),103069194
I48,1.342067713,103.96111,Yes,LTA,Stop,Jln Pergam outside Upper Changi DTL Station (Ent A),103095083
I49,1.341393579,103.96163,Yes,LTA,Stand,Upp Changi Rd East outside Upper Changi DTL Station (Ent B),103073559
I51,1.35406,103.94041,Yes,Private,Stand,Tampines Walk at Our Tampines Hub,103012399
I52,1.361422973,103.98987,Yes,Private,Stop,Taxi Stop 1A at Changi Airport T1 Arrival (T1 North West),103080160
I53,1.36124187,103.99032,Yes,Private,Stop,Taxi Stop 1B at Changi Airport T1 Arrival (T1 North East),103014488
I54,1.3613,103.9898013,Yes,Private,Stop,Taxi Stop 1C at Changi Airport T1 Arrival (T1 South West),103014488
I55,1.36114237,103.9902741,Yes,Private,Stop,Taxi Stop 1D at Changi Airport T1 Arrival (T1 South East),103014488
I56,1.356408947,103.9892756,Yes,Private,Stop,Taxi Stop 2B at Changi Airport T2 Arrival Drive (T2 North),103028388
I57,1.355839598,103.9885351,Yes,Private,Stop,Taxi Stop 2A at Changi Airport T2 Arrival Drive (T2 South),103017168
I58,1.356643761,103.9875269,Yes,Private,Stop,Taxi Stop 3B at Changi Airport T3 Arrival Drive (T3 North),109001220
I59,1.355278088,103.98691,Yes,Private,Stop,Taxi Stop 3A at Changi Airport T3 Arrival Drive (T3 South),109001216
I60,1.338923313,103.9831195,Yes,Private,Stop,Taxi Stop 4B at Changi Airport T4 Link (T4 North),103095763
I61,1.337565301,103.9825397,Yes,Private,Stop,Taxi Stop 4A at Changi Airport T4 Link (T4 South),103095763
I62,1.34579,103.9464283,Yes,CCS,Stand,Tampines St 11 near Blk 114,103101894
J01,1.358821047,103.7515,Yes,LTA,Stand,Bukit Batok West Ave 5 opposite Bukit Gombak MRT Station (outside Blk 372),103054054
J03,1.397176098,103.7475142,Yes,LTA,Stand,Choa Chu Kang Dr outside Yew Tee MRT Station,103046758
J04,1.28376027,103.7812063,Yes,LTA,Stand,Pasir Panjang Rd outside Haw Par Villa,103070490
J05,1.311569631,103.7779283,Yes,LTA,Stand,Commonwealth Ave West outside Dover MRT Station (Ent A),103109174
J06,1.311302029,103.779308,Yes,LTA,Stand,Commonwealth Ave West outside Dover MRT Station (Ent B),103078643
J07,1.313697769,103.7656452,Yes,LTA,Stand,Commonwealth Ave West outside Clementi MRT Station (towards Jurong East),103085642
J08,1.332333119,103.74267,Yes,LTA,Stand,Summit Lane outside Jurong East MRT Station,112001502
J10,1.350169801,103.7250506,Yes,LTA,Stand,Jurong West Ave 1 outside Blk 492,103068911
J11,1.342952414,103.732047,Yes,LTA,Stand,Boon Lay Way outside Chinese Garden MRT Station,103077587
J12,1.344548958,103.7207867,Yes,LTA,Stand,Boon Lay Way outside Lakeside MRT Station,103105263
J13,1.338106832,103.706546,Yes,LTA,Stand,Boon Lay Way outside Boon Lay MRT Station (towards Jurong East),104002662
J14,1.338186768,103.7071111,Yes,LTA,Stand,Boon Lay Way outside Boon Lay MRT Station (towards Tuas),104002662
J15,1.338995805,103.7069825,Yes,Private,Stand,Boon Lay Way outside Jurong Point Shopping Mall,104000358
J16,1.337774924,103.69767,Yes,LTA,Stand,Jurong West St 63 outside Pioneer MRT Station (Ent B),103060018
J19,1.283306206,103.78169,Yes,LTA,Stand,Pasir Panjang Rd outside Haw Par Villa CCL Station,103060150
J21,1.319421548,103.6608667,Yes,LTA,Stand,Tuas Rd outside Gul Circle MRT Station (Ent A),103087627
J22,1.32149,103.649021,Yes,LTA,Stand,Pioneer Rd outside Tuas Crescent MRT Station (Ent B),116003252
J23,1.329977199,103.6392144,Yes,LTA,Stand,Pioneer Rd outside Tuas West Road MRT Station (Ent A),108002494
J24,1.33043,103.6394942,Yes,LTA,Stand,Pioneer Rd outside Tuas West Road MRT Station (Ent B),108002494
J25,1.340728759,103.6372527,Yes,LTA,Stand,Tuas West Dr outside Tuas Link MRT Station (Ent A),103092022
J26,1.34039,103.6368153,Yes,LTA,Stand,Tuas West Dr outside Tuas Link MRT Station (Ent B),103092022
J27,1.34444444676157,103.72000000316,Yes,LTA,Stand,Boon Lay Way opposite Lakeside MRT Station (Towards Jurong East),103105263
