,WeekendTapIn,YearMonth,WeekendTapOut,WeekdayTapOut,TrainStationCode,WeekdayTapIn
599,470214,2024-01,463116,923781,EW13,922192
600,23302,2024-01,32109,131045,NS27,133068
601,23302,2024-01,32109,131045,CE2,133068
602,23302,2024-01,32109,131045,TE20,133068
603,262691,2024-01,288405,925091,NS4,841599
604,262691,2024-01,288405,925091,BP1,841599
605,423228,2024-01,469461,1480703,NS9,1230079
606,423228,2024-01,469461,1480703,TE2,1230079
607,624802,2024-01,652825,1348948,TE14,1269882
608,624802,2024-01,652825,1348948,NS22,1269882
