,TaxiCode,Longitude,Ownership,Name,Bfa,Latitude,Type,LinkID
249,I16,103.90131,Private,Mountbatten Rd along driveway of Katong Shopping Centre,Yes,1.303803724,Stand,104007918
250,I17,103.91243,LTA,Sims Ave East outside Kembangan MRT station,Yes,1.320761251,Stand,103078216
251,I18,103.89797,CCS,Sims Ave outside Block 2C,Yes,1.317731858,Stand,103081604
252,I19,103.89459,CCS,Sims Ave near Tanjong Katong Complex,Yes,1.316465598,Stand,103007812
253,I20,103.89405,CCS,Tanjong Katong Rd outside City Plaza,Yes,1.314680937,Stand,103009638
254,I21,103.8943,Private,Tanjong Katong Rd at KINEX,Yes,1.314713111,Stand,103009638
255,I22,103.89179,LTA,Paya Lebar Rd outside Paya Lebar CCL Station (Ent C),Yes,1.318291566,Stand,103082099
256,I23,103.8931,Private,Eunos Rd 8 outside Paya Lebar Square,Yes,1.3189409,Stand,103096058
257,I24,103.88729,LTA,Geylang East Ctrl outside Geylang Polyclinic,Yes,1.319169945,Stand,103068838
258,I25,103.88315,LTA,Geylang Lor 25A outside Aljunied MRT Station,No,1.315995967,Stand,103022339
259,I26,103.88034,LTA,Bartley Rd outside Bartley CCL Station (Ent A),Yes,1.34241649,Stand,103089735
260,I27,103.88922,LTA,Old Airport Rd outside Dakota CCL Station (Ent A),Yes,1.308611817,Stand,103088282
261,I28,103.87539,Private,Stadium Cres outside Singapore Indoor Stadium,Yes,1.300969009,Stand,114000423
262,I29,103.87702,Private,Stadium Blvd near OCBC Arena,Yes,1.305449464,Stand,112000331
263,I30,103.87226,Private,Stadium Pl outside Kallang Wave Mall,Yes,1.304187434,Stand,114000330
264,I31,103.92926,Private,New Upp Changi Rd at Bedok Mall,Yes,1.324236901,Stand,103077616
265,I32,103.93246,Private,Bedok North St 1 at Heartbeat@Bedok (Bedok Integrated Complex),Yes,1.32746,Stop,103058567
266,I33,103.88291,LTA,Merpati Rd outside Mattar DTL Station (Ent A),Yes,1.327411052,Stand,103019916
267,I35,103.88939,LTA,Circuit Rd outside Macpherson DTL Station (Ent A),Yes,1.326299648,Stand,103004198
268,I36,103.89989,LTA,Ubi Ave 2 outside Ubi DTL Station (towards MacPherson) (Ent A),Yes,1.330088636,Stand,103045891
269,I37,103.87159,LTA,Ubi Ave 2 outside Ubi DTL Station (towards Kaki Bukit) (Ent B),Yes,1.329802589,Stand,103028407
270,I38,103.90737,LTA,Kaki Bukit Ave 1 outside Kaki Bukit DTL Station (Ent B),Yes,1.334693728,Stand,103095647
271,I39,103.90908,LTA,Jalan Damai outside Kaki Bukit DTL Station (Ent B),Yes,1.334708862,Stand,103059778
272,I40,103.91802,LTA,Bedok North Rd outside Bedok North DTL Station (Ent A),Yes,1.335501676,Stand,103109263
273,I41,103.91886,LTA,Bedok North Rd outside Bedok North DTL Station (Ent B),Yes,1.33413593,Stand,103107370
274,I42,103.95719,Private,Upp Changi Rd East at driveway of Max Atria EXPO,Yes,1.333853533,Stand,103083274
275,I43,103.93305,LTA,Bedok North Ave 3 outside Bedok Reservoir DTL Station (towards Bedok Reservoir) (Ent A),Yes,1.336475101,Stand,103000614
276,I44,103.93355,LTA,Bedok North Ave 3 outside Bedok Reservoir DTL Station (Ent B),Yes,1.336316569,Stand,109000076
277,I45,103.93828,LTA,Tampines Ave 4 outside Tampines West DTL Station (Ent A),Yes,1.350789067,Stand,103101875
278,I46,103.9392,LTA,Tampines Ave 1 outside Tampines West DTL Station (Ent B),Yes,1.344952831,Stand,103058674
279,I47,103.95468,LTA,Tampines Ave 7 outside Tampines East DTL Station (Ent A),Yes,1.356448608,Stand,103069194
280,I48,103.96111,LTA,Jln Pergam outside Upper Changi DTL Station (Ent A),Yes,1.342067713,Stop,103095083
281,I49,103.96163,LTA,Upp Changi Rd East outside Upper Changi DTL Station (Ent B),Yes,1.341393579,Stand,103073559
282,I51,103.94041,Private,Tampines Walk at Our Tampines Hub,Yes,1.35406,Stand,103012399
283,I52,103.98987,Private,Taxi Stop 1A at Changi Airport T1 Arrival (T1 North West),Yes,1.361422973,Stop,103080160
284,I53,103.99032,Private,Taxi Stop 1B at Changi Airport T1 Arrival (T1 North East),Yes,1.36124187,Stop,103014488
285,I54,103.9898013,Private,Taxi Stop 1C at Changi Airport T1 Arrival (T1 South West),Yes,1.3613,Stop,103014488
286,I55,103.9902741,Private,Taxi Stop 1D at Changi Airport T1 Arrival (T1 South East),Yes,1.36114237,Stop,103014488
287,I56,103.9892756,Private,Taxi Stop 2B at Changi Airport T2 Arrival Drive (T2 North),Yes,1.356408947,Stop,103028388
288,I57,103.9885351,Private,Taxi Stop 2A at Changi Airport T2 Arrival Drive (T2 South),Yes,1.355839598,Stop,103017168
289,I58,103.9875269,Private,Taxi Stop 3B at Changi Airport T3 Arrival Drive (T3 North),Yes,1.356643761,Stop,109001220
290,I59,103.98691,Private,Taxi Stop 3A at Changi Airport T3 Arrival Drive (T3 South),Yes,1.355278088,Stop,109001216
291,I60,103.9831195,Private,Taxi Stop 4B at Changi Airport T4 Link (T4 North),Yes,1.338923313,Stop,103095763
292,I61,103.9825397,Private,Taxi Stop 4A at Changi Airport T4 Link (T4 South),Yes,1.337565301,Stop,103095763
293,I62,103.9464283,CCS,Tampines St 11 near Blk 114,Yes,1.34579,Stand,103101894
294,J01,103.7515,LTA,Bukit Batok West Ave 5 opposite Bukit Gombak MRT Station (outside Blk 372),Yes,1.358821047,Stand,103054054
295,J03,103.7475142,LTA,Choa Chu Kang Dr outside Yew Tee MRT Station,Yes,1.397176098,Stand,103046758
296,J04,103.7812063,LTA,Pasir Panjang Rd outside Haw Par Villa,Yes,1.28376027,Stand,103070490
297,J05,103.7779283,LTA,Commonwealth Ave West outside Dover MRT Station (Ent A),Yes,1.311569631,Stand,103109174
298,J06,103.779308,LTA,Commonwealth Ave West outside Dover MRT Station (Ent B),Yes,1.311302029,Stand,103078643
299,J07,103.7656452,LTA,Commonwealth Ave West outside Clementi MRT Station (towards Jurong East),Yes,1.313697769,Stand,103085642
300,J08,103.74267,LTA,Summit Lane outside Jurong East MRT Station,Yes,1.332333119,Stand,112001502
301,J10,103.7250506,LTA,Jurong West Ave 1 outside Blk 492,Yes,1.350169801,Stand,103068911
302,J11,103.732047,LTA,Boon Lay Way outside Chinese Garden MRT Station,Yes,1.342952414,Stand,103077587
303,J12,103.7207867,LTA,Boon Lay Way outside Lakeside MRT Station,Yes,1.344548958,Stand,103105263
304,J13,103.706546,LTA,Boon Lay Way outside Boon Lay MRT Station (towards Jurong East),Yes,1.338106832,Stand,104002662
305,J14,103.7071111,LTA,Boon Lay Way outside Boon Lay MRT Station (towards Tuas),Yes,1.338186768,Stand,104002662
306,J15,103.7069825,Private,Boon Lay Way outside Jurong Point Shopping Mall,Yes,1.338995805,Stand,104000358
307,J16,103.69767,LTA,Jurong West St 63 outside Pioneer MRT Station (Ent B),Yes,1.337774924,Stand,103060018
308,J19,103.78169,LTA,Pasir Panjang Rd outside Haw Par Villa CCL Station,Yes,1.283306206,Stand,103060150
309,J21,103.6608667,LTA,Tuas Rd outside Gul Circle MRT Station (Ent A),Yes,1.319421548,Stand,103087627
310,J22,103.649021,LTA,Pioneer Rd outside Tuas Crescent MRT Station (Ent B),Yes,1.32149,Stand,116003252
311,J23,103.6392144,LTA,Pioneer Rd outside Tuas West Road MRT Station (Ent A),Yes,1.329977199,Stand,108002494
312,J24,103.6394942,LTA,Pioneer Rd outside Tuas West Road MRT Station (Ent B),Yes,1.33043,Stand,108002494
313,J25,103.6372527,LTA,Tuas West Dr outside Tuas Link MRT Station (Ent A),Yes,1.340728759,Stand,103092022
314,J26,103.6368153,LTA,Tuas West Dr outside Tuas Link MRT Station (Ent B),Yes,1.34039,Stand,103092022
315,J27,103.72000000316,LTA,Boon Lay Way opposite Lakeside MRT Station (Towards Jurong East),Yes,1.34444444676157,Stand,103105263
